"&quot;Village&quot;";"&quot;Code Village&quot;2";"&quot;Village&quot;3";"&quot;Location&quot;";Date (YMD);Comments;Cause;Description of Cause;Source;Magnitude;GLIDEnumber;Other sectors;DataCards;Deaths;Injured;Missing;Houses Destroyed;Houses Damaged;Directly affected;Indirectly Affected;Relocated;Evacuated;Losses $USD;Losses $Local;Education centers;Hospitals;Damages in crops Ha.
Hattieville;;;Hattieville Village, Belize District;2008/10/16;Sections of the Burrell Boom/Hattieville Road roadway were inundated causing difficulties in commuting. The major health threats associated with the passage of TD 16 included skin infections (rashes), fever and cough, fever, diarrhea, vomiting and abdominal pain, and other ailments.;ATMOSPHCONDITION;Tropical Depression 16 was a large and sprawling depression ;DANA Reports, MET Reports, NHC Reports;;;There were reported damages to houses and other structures  ;1;;;;;19;;96;96;;;;;;
Gracie Rock;;;Gracie Rock Village, Belize District;2008/10/16;"Residents of Gracie Rock Village experienced difficulties in passage as access roads to their homes were inundated. 
Other effects included disruptions to subsistence farming, other forms of employment and school attendance.";ATMOSPHCONDITION;Tropical Depression 16 was a large and sprawling depression ;DANA Reports, MET Reports, NHC Reports;;;Inundated homes in Gracie Rock Village experienced damages t;1;;;;;5;;27;13;;;;;;
La Democracia;;;La Democracia Village, Belize District;2008/10/16;The effects of the flooding in La Democracia included disruptions in transportation, school attendance and employment.;ATMOSPHCONDITION;Tropical Depression 16 was a large and sprawling depression ;DANA Reports, MET Reports, NHC Reports;;;Homes in the low-lying section of La Democracia were inundat;1;;;;;12;;42;14;;;;;;
Burrel Boom;;;Burrel Boom Village, Belize District;2008/10/16;Various sections of the roadway on the Burrel Boom/Hattieville Road were inundated for over two weeks, causing difficulties in transportation. Other losses included inundation to farm and plantations.;ATMOSPHCONDITION;Tropical Depression 16 formed as a result of a strong tropic;DANA Reports, MET Reports, NHC Reports;;;Black Orchid Resort and Belize Eco Park in Burrel Boom Villa;1;;;;;1;;7;7;;;;;;
Central Farm;;;Running W Meats near Central Farm on the Western Highway bet;2011/2/25;The head on collision involving a red Ford Escort and a Blue Bird passenger bus claimed the life of 18 year old Mark Guy Jr. The conductor of the bus was also affected, as he sustained minor head injuries. The car, priced at BZ$5,000 was totaled and the bus suffered damages of BZ$2,000 to its anterior.;HUMANERROR;Preliminary investigations reveal that the cause of this tra;Channel 5 News, Channel 7 News, Amandala Newspaper;;;The Ford Escort, driven by the deceased, was valued at appro;1;1;;;;;;2;;;3500;7000;;;
Lemonal;;;Lemonal Village, Cayo District;2008/10/16;Residents of Lemonal Village  experienced difficulties in transportation as access roads to their homes were flooded due to the copious rainfall associated with TD 16. As a consequence of flooding, the highway remained closed until the inundated water receded. The main health threats caused by the floods associated with TD 16 included skin infections (rashes), fever and cough, fever, diarrhea, vomiting and abdominal pain, and other ailments.;ATMOSPHCONDITION;Tropical Depression 16 formed as a result of a strong tropic;DANA Reports, MET Reports, NHC Reports;;;Homes in Lemonal Village suffered water damage, which result;1;;;;;34;;144;49;;;;;;
Crooked Tree;;;Crooked Tree Village, Belize District;2008/10/16;Residents in the Crooked Tree community experienced difficulties in commuting as access roads to their homes were inaccessible due the severe floods caused by TD 16. The Crooked Tree Causeway was  inundated for approximately two weeks. In addition, the Crooked Tree community suffered indirect effects, in the form of disruptions in school attendance and employment.;ATMOSPHCONDITION;Tropical Depression 16 was a large and sprawling depression ;DANA Reports, MET Reports, NHC Reports;;;Damages to houses were caused by water intrusion and water l;1;;;;;5;;34;34;;;;;;
Ontario;;;Ontario Village, Cayo District;2008/10/16;The village of Ontario suffered indirect effects from the floods, in the form of disruptions in transportation, school attendance and employment.;ATMOSPHCONDITION;Tropical Depression 16 formed as a result of a strong tropic;DANA Reports, MET Reports, NHC Reports;;;Other losses in Ontario Village included inundation to farm ;1;;;;;8;;39;;;;;;;
Roaring Creek;;;Roaring Creek Village, Cayo District;2008/10/16;The village of  Roaring Creek suffered indirect effects from the floods, in the form of disruptions in transportation, school attendance and employment. As a consequence of the flooding, the Belize River became inundated and covered the Roaring Creek Bridge for several days.;ATMOSPHCONDITION;Tropical Depression 16 formed as a result of a strong tropic;DANA Reports, MET Reports, NHC Reports;;;Inundated homes in Roaring Creek Village suffered losses to ;1;;;;;4;;22;;;;;;;
More Tomorrow;;;More Tomorrow Village, Cayo District;2008/10/16;The villagers of More Tomorrow experienced difficulties in transportation as access roads to their community became inundated in some areas. The major health threats caused by the floods associated with TD 16 included skin infections (rashes), fever and cough, fever, diarrhea, vomiting and abdominal pain, and other ailments.;ATMOSPHCONDITION;Tropical Depression 16 formed as a result of a strong tropic;DANA Reports, MET Reports, NHC Reports;;;In More Tomorrow Village, homes near the Belize River experi;1;;;;;49;;224;;;;;;;
